DATASET_EN,NAME_EN,ADDRESS_EN,LATITUDE,LONGITUDE
"Parks, Zoos and Gardens",Tuen Mun Park,"Tuen Mun Heung Sze Wui Road, Tuen Mun",22.391933850000001,113.973443919999994
"Parks, Zoos and Gardens",Cafeteria Old Beach Sitting-out Area,"Cafeteria Old Beach, Tuen Mun",22.375347699999999,113.985169999999997
"Parks, Zoos and Gardens",Kai Tak Sky Garden,"Shing Fung Road, Kai Tak",22.311191900000001,114.207752999999997
"Parks, Zoos and Gardens",Ap Lei Chau Waterfront Promenade,"Ping Lan Street, Ap Lei Chau, Hong Kong",22.244824600000001,114.155438430000004
"Parks, Zoos and Gardens",Central and Western Distrcit Promenade - Western Wholesale Food Market Setcion,"8 Fung Mat Road, Sai Wan",22.289542300000001,114.136025759999995
"Parks, Zoos and Gardens",Tai Po Kau Park,"Tai Po Road (Tai Po Kau), Tai Po Kau",22.432901650000002,114.189049319999995
"Parks, Zoos and Gardens",Tolo Harbour Garden,"Tolo Highway, Tai Po",22.440604700000002,114.185365000000004
"Parks, Zoos and Gardens",Yuen Chau Tsai Park,"Island House Lane, Tai Po",22.448281999999999,114.177285429999998
"Parks, Zoos and Gardens",Tat Wan Road Sitting out Area,"Tat Wan Road, Tai Po",22.438811240000000,114.164570029999993
"Parks, Zoos and Gardens",Peng Lei Road Sitting-out Area,"Peng Lei Road, Peng Chau",22.288452079999999,114.035780810000006
"Parks, Zoos and Gardens",Don Bosco Road Garden,"Don Bosco Road, Cheung Chau",22.203117710000001,114.035859000000002
"Parks, Zoos and Gardens",King Fuk Street Sitting-out Area,"King Fuk Street, Wong Tai Sin",22.333863910000002,114.196231429999997
"Parks, Zoos and Gardens",Kwai Hei Street Sitting-out Area,"Kwai Fuk Road, Kwai Chung",22.357794779999999,114.123972899999998
"Parks, Zoos and Gardens",Shek Pui Street Garden,"Shek Pui Street, Kwai Chung",22.364622700000002,114.136646999999996
"Parks, Zoos and Gardens",Jockey Club Kwai Shing Circuit Sitting-out Area,"Kwai Shing Circuit, Kwai Chung",22.360301079999999,114.124092250000004
"Parks, Zoos and Gardens",Kam Fung Street Sitting-out Area,"Kam Fung Street , Wong Tai Sin",22.344875649999999,114.197999620000004
"Parks, Zoos and Gardens",Shing Mun River Promenade Garden No.3,"Tai Chung Kiu Road, City One, Sha Tin",22.391470699999999,114.199105000000003
"Parks, Zoos and Gardens",Shing Mun River Promenade Garden No.2,"Tai Chung Kiu Road, Sha Tin",22.389126699999998,114.201896000000005
"Parks, Zoos and Gardens",Shing Mun River Promenade Garden No.1,"Che Kung Miu Road, Sha Tin",22.376982699999999,114.189885000000004
"Parks, Zoos and Gardens",Ma On Shan Sai Sha Road Garden,"Sai Sha Road, Ma On Shan",22.424458699999999,114.227343000000005
"Parks, Zoos and Gardens",Mei Tin Road Sitting-out Area,"Mei Tin Road, Tai Wai",22.377187700000000,114.174381999999994
"Parks, Zoos and Gardens",Bowen Road Park,"Bowen Road, Wan Chai",22.270028190000001,114.171566150000004
"Parks, Zoos and Gardens",Bowen Road Garden,"Bowen Road, Wan Chai",22.272671830000000,114.165851959999998
"Parks, Zoos and Gardens",Tsing Bik Sitting-out Area,"Tsing Bik Street, Tuen Mun",22.377275869999998,113.980368609999999
"Parks, Zoos and Gardens",Pui To Road (South) Rest Garden,"Tin Hau Road, Tuen Mun",22.392468699999998,113.971750999999998
"Parks, Zoos and Gardens",San On Sitting-out Area,"San On Street, Tuen Mun",22.392999369999998,113.970454750000002
"Parks, Zoos and Gardens",Sheung Tsuen Park,"Kam Sheung Road, Yuen Long",22.431844280000000,114.102635980000002
"Parks, Zoos and Gardens",Tin Tsz Garden,"Tin Shui Road, Tin Shui Wai, Yuen Long",22.452044600000001,114.008529960000004
"Parks, Zoos and Gardens",Hang Hau Garden,"Tin Chau Road, Hang Hau, Tseung Kwan O. N.T.",22.314629979999999,114.268894349999997
"Parks, Zoos and Gardens",Waterfall Bay Park,"Waterfall Bay Road, Wah Fu Estate",22.250244100000000,114.135087749999997
"Parks, Zoos and Gardens",Sun Pat Kan Sitting-out Area,"Wong Ma Kok Road, Stanley",22.216793039999999,114.213398150000003
"Parks, Zoos and Gardens",Hung Shing Street Rest Garden,"Wai Fung Street, Ap Lei Chau",22.244767150000001,114.156270719999995
"Parks, Zoos and Gardens",Wing Hong Street Rest Garden,Wing Hong Street,22.340221100000001,114.151343870000005
"Parks, Zoos and Gardens",Lung Cheung Road Lookout,Lung Cheung Road,22.342849279999999,114.171424290000004
"Parks, Zoos and Gardens",Pier 3 Garden,"Roof, Central Pier No. 3,Man Kwong Street, Central",22.287987760000000,114.157478409999996
"Parks, Zoos and Gardens",Pier 2 Garden,"Roof, Central Pier No. 2, Man Kwong Street, Central",22.288214140000001,114.156557010000000
"Parks, Zoos and Gardens",Central Pier Waterfront,"Man Kwong Street, Central",22.287335410000001,114.158967750000002
"Parks, Zoos and Gardens",Wing Lee Street Rest Garden,"Wing Lee Street, Sheung Wan",22.283251870000001,114.150154729999997
